FlightDate,HourRange,NonUsaPassengerAverageWait,NonUsaPassengerCount,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount
2023-08-15,1500 - 1600,40,1092,2046,22,954
2023-08-15,1600 - 1700,30,753,1705,18,952
2023-08-15,1700 - 1800,41,784,1690,24,906
2023-08-15,1800 - 1900,52,505,960,24,455
2023-08-15,1900 - 2000,33,648,1417,15,769
2023-08-15,2000 - 2100,35,788,1703,17,915
2023-08-15,2100 - 2200,64,1037,2182,30,1145
2023-08-15,2200 - 2300,64,377,632,23,255
2023-08-15,2300 - 0000,69,664,1654,39,990
2023-08-16,0500 - 0600,16,169,276,13,107
2023-08-16,0600 - 0700,22,525,1331,15,806
2023-08-16,0700 - 0800,30,882,1249,17,367
2023-08-16,0800 - 0900,31,393,626,18,233
2023-08-16,0900 - 1000,27,676,1007,10,331
2023-08-16,1000 - 1100,26,1258,1727,18,469
2023-08-16,1100 - 1200,31,1678,2364,19,686
2023-08-16,1200 - 1300,32,906,1569,18,663
2023-08-16,1300 - 1400,41,1862,3472,18,1610
2023-08-16,1400 - 1500,53,1157,2344,23,1187
2023-08-16,1500 - 1600,75,1381,2523,44,1142
2023-08-16,1600 - 1700,58,685,1086,21,401
2023-08-16,1700 - 1800,65,996,2214,26,1218
2023-08-16,1800 - 1900,47,990,1646,20,656
2023-08-16,1900 - 2000,26,419,1009,18,590
2023-08-16,2000 - 2100,23,426,1031,17,605
2023-08-16,2100 - 2200,30,374,959,22,585
2023-08-16,2200 - 2300,33,740,1583,16,843
2023-08-16,2300 - 0000,71,496,1262,58,766
2023-08-17,0500 - 0600,42,543,1177,28,634
2023-08-17,0600 - 0700,41,221,418,21,197
2023-08-17,0700 - 0800,30,640,862,22,222
2023-08-17,0800 - 0900,44,407,641,18,234
2023-08-17,0900 - 1000,56,306,605,27,299
2023-08-17,1000 - 1100,45,1032,1511,23,479
2023-08-17,1100 - 1200,53,1673,2567,19,894
2023-08-17,1200 - 1300,57,1168,1834,22,666
2023-08-17,1300 - 1400,78,1513,2744,30,1231
2023-08-17,1400 - 1500,85,1312,2296,38,984
2023-08-17,1500 - 1600,79,1100,1876,36,776
2023-08-17,1600 - 1700,85,1302,2162,35,860
2023-08-17,1700 - 1800,85,1342,2601,42,1259
2023-08-17,1800 - 1900,88,554,1081,34,527
2023-08-17,1900 - 2000,75,161,395,35,234
2023-08-17,2000 - 2100,48,818,1442,12,624
2023-08-17,2100 - 2200,47,853,1750,26,897
2023-08-17,2200 - 2300,60,750,1705,27,955
2023-08-17,2300 - 0000,58,623,1081,25,458
2023-08-18,0500 - 0600,37,358,853,27,495
2023-08-18,0600 - 0700,40,358,648,23,290
2023-08-18,0700 - 0800,45,1293,1812,23,519
2023-08-18,0800 - 0900,48,429,672,17,243
2023-08-18,0900 - 1000,52,865,1266,19,401
2023-08-18,1000 - 1100,45,1108,1429,23,321
2023-08-18,1100 - 1200,63,966,1384,21,418
2023-08-18,1200 - 1300,86,1617,2811,36,1194
2023-08-18,1300 - 1400,105,1276,2444,36,1168
2023-08-18,1400 - 1500,109,1540,2875,56,1335
2023-08-18,1500 - 1600,97,1096,1794,51,698
2023-08-18,1600 - 1700,87,599,1107,31,508
2023-08-18,1700 - 1800,86,1225,2389,34,1164
2023-08-18,1800 - 1900,74,780,1160,29,380
2023-08-18,1900 - 2000,78,656,1187,30,531
2023-08-18,2000 - 2100,45,188,551,24,363
2023-08-18,2100 - 2200,25,681,1575,19,894
2023-08-18,2200 - 2300,35,978,1749,17,771
2023-08-18,2300 - 0000,70,1064,2181,44,1117
2023-08-19,0500 - 0600,20,43,160,14,117
2023-08-19,0600 - 0700,16,564,1059,7,495
2023-08-19,0700 - 0800,34,415,715,27,300
2023-08-19,0800 - 0900,31,1043,1548,16,505
2023-08-19,0900 - 1000,43,236,296,13,60
2023-08-19,1000 - 1100,35,1322,1947,20,625
2023-08-19,1100 - 1200,47,1364,2285,25,921
2023-08-19,1200 - 1300,45,754,1429,24,675
2023-08-19,1300 - 1400,67,1831,3498,33,1667
2023-08-19,1400 - 1500,58,888,1653,28,765
2023-08-19,1500 - 1600,61,1234,1853,24,619
2023-08-19,1600 - 1700,50,755,1656,22,901
2023-08-19,1700 - 1800,51,1198,2742,22,1544
2023-08-19,1800 - 1900,41,1349,2909,19,1560
2023-08-19,1900 - 2000,33,220,796,20,576
2023-08-19,2000 - 2100,30,329,1322,20,993
2023-08-19,2100 - 2200,31,845,2035,25,1190
2023-08-19,2200 - 2300,31,954,2279,26,1325
2023-08-19,2300 - 0000,31,279,882,28,603
2023-08-20,0600 - 0700,27,756,1628,14,872
2023-08-20,0700 - 0800,48,1297,2005,24,708
2023-08-20,0800 - 0900,75,393,682,29,289
2023-08-20,0900 - 1000,53,458,732,16,274
2023-08-20,1000 - 1100,36,945,1460,25,515
2023-08-20,1100 - 1200,39,1293,1806,18,513
2023-08-20,1200 - 1300,59,1087,1976,28,889
2023-08-20,1300 - 1400,65,1012,2297,25,1285
2023-08-20,1400 - 1500,49,902,1849,18,947
2023-08-20,1500 - 1600,46,979,2380,22,1401
2023-08-20,1600 - 1700,26,827,1647,24,820
2023-08-20,1700 - 1800,21,613,1792,18,1179
2023-08-20,1800 - 1900,18,721,1385,12,664
2023-08-20,1900 - 2000,16,454,1294,11,840
2023-08-20,2000 - 2100,10,265,1077,10,812
2023-08-20,2100 - 2200,24,838,1749,13,911
2023-08-20,2200 - 2300,25,650,1516,21,866
2023-08-20,2300 - 0000,35,653,1845,29,1192
2023-08-21,0500 - 0600,24,54,302,19,248
2023-08-21,0600 - 0700,19,375,1203,12,828
2023-08-21,0700 - 0800,14,525,1193,9,668
2023-08-21,0800 - 0900,15,227,454,12,227
2023-08-21,0900 - 1000,18,750,1340,14,590
2023-08-21,1000 - 1100,22,1098,1401,13,303
2023-08-21,1100 - 1200,21,954,1601,13,647
2023-08-21,1200 - 1300,29,1438,2477,14,1039
2023-08-21,1300 - 1400,38,1287,2515,16,1228
2023-08-21,1400 - 1500,36,1143,2431,22,1288
2023-08-21,1500 - 1600,54,1578,2999,30,1421
2023-08-21,1600 - 1700,71,767,1254,26,487
2023-08-21,1700 - 1800,61,851,2156,21,1305
2023-08-21,1800 - 1900,42,869,1603,21,734
2023-08-21,1900 - 2000,13,512,1143,8,631
2023-08-21,2000 - 2100,34,707,1798,18,1091
2023-08-21,2100 - 2200,33,603,1583,24,980
2023-08-21,2200 - 2300,37,531,1019,20,488
2023-08-21,2300 - 0000,50,303,1050,29,747
2023-08-22,0500 - 0600,36,351,1133,27,782
2023-08-22,0600 - 0700,32,237,539,17,302
2023-08-22,0700 - 0800,21,546,1163,19,617
2023-08-22,0800 - 0900,11,234,394,8,160
2023-08-22,0900 - 1000,30,841,1374,18,533
2023-08-22,1000 - 1100,24,472,852,17,380
2023-08-22,1100 - 1200,32,1575,2659,18,1084
2023-08-22,1200 - 1300,29,826,1302,13,476
2023-08-22,1300 - 1400,30,1229,2561,19,1332
2023-08-22,1400 - 1500,39,1144,2016,18,872
2023-08-22,1500 - 1600,37,813,1802,25,989
2023-08-22,1600 - 1700,18,351,685,11,334
2023-08-22,1700 - 1800,37,1299,2765,20,1466
2023-08-22,1800 - 1900,34,884,1703,17,819
2023-08-22,1900 - 2000,13,96,478,13,382
2023-08-22,2000 - 2100,15,637,1478,13,841
2023-08-22,2100 - 2200,21,1021,1823,17,802
2023-08-22,2200 - 2300,53,803,1677,39,874
2023-08-22,2300 - 0000,66,224,647,58,423
2023-08-23,0500 - 0600,29,241,562,19,321
2023-08-23,0600 - 0700,20,336,825,6,489
2023-08-23,0700 - 0800,35,1003,1401,17,398
2023-08-23,0800 - 0900,24,481,854,16,373
2023-08-23,0900 - 1000,15,531,695,8,164
2023-08-23,1000 - 1100,27,1274,1798,21,524
2023-08-23,1100 - 1200,27,964,1396,15,432
2023-08-23,1200 - 1300,40,875,1663,17,788
2023-08-23,1300 - 1400,33,1151,2178,15,1027
2023-08-23,1400 - 1500,42,1457,2646,20,1189
2023-08-23,1500 - 1600,47,1227,2299,17,1072
2023-08-23,1600 - 1700,25,458,904,16,446
2023-08-23,1700 - 1800,30,1203,2215,19,1012
2023-08-23,1800 - 1900,30,901,1789,23,888
2023-08-23,1900 - 2000,13,207,747,12,540
2023-08-23,2000 - 2100,21,534,1402,15,868
2023-08-23,2100 - 2200,17,226,591,12,365
2023-08-23,2200 - 2300,28,1021,2075,14,1054
2023-08-23,2300 - 0000,50,315,619,31,304
2023-08-24,0500 - 0600,27,215,435,18,220
2023-08-24,0600 - 0700,28,582,1055,11,473
2023-08-24,0700 - 0800,21,791,1153,17,362
2023-08-24,0800 - 0900,26,562,827,13,265
2023-08-24,0900 - 1000,26,294,512,19,218
2023-08-24,1000 - 1100,12,689,967,7,278
2023-08-24,1100 - 1200,26,1269,1932,18,663
2023-08-24,1200 - 1300,27,973,1762,18,789
2023-08-24,1300 - 1400,38,1483,2267,18,784
2023-08-24,1400 - 1500,53,1351,2375,23,1024
2023-08-24,1500 - 1600,65,1047,1606,24,559
2023-08-24,1600 - 1700,56,1021,1841,24,820
2023-08-24,1700 - 1800,46,714,1497,23,783
2023-08-24,1800 - 1900,38,752,1199,20,447
2023-08-24,1900 - 2000,28,329,770,12,441
2023-08-24,2000 - 2100,49,644,1419,26,775
2023-08-24,2100 - 2200,28,371,945,17,574
2023-08-24,2200 - 2300,28,786,1456,18,670
2023-08-24,2300 - 0000,24,279,581,16,302
2023-08-25,0500 - 0600,44,761,1410,21,649
2023-08-25,0600 - 0700,46,249,358,15,109
2023-08-25,0700 - 0800,28,825,1161,20,336
2023-08-25,0800 - 0900,14,328,502,11,174
2023-08-25,0900 - 1000,22,775,1151,16,376
2023-08-25,1000 - 1100,13,700,930,5,230
2023-08-25,1100 - 1200,33,1081,1700,16,619
2023-08-25,1200 - 1300,49,1468,2343,21,875
2023-08-25,1300 - 1400,72,1445,2392,29,947
2023-08-25,1400 - 1500,73,1413,2411,36,998
2023-08-25,1500 - 1600,63,912,1643,33,731
2023-08-25,1600 - 1700,37,835,1550,17,715
2023-08-25,1700 - 1800,55,1049,1892,20,843
2023-08-25,1800 - 1900,39,376,839,14,463
2023-08-25,1900 - 2000,20,490,848,10,358
2023-08-25,2000 - 2100,19,501,1193,15,692
2023-08-25,2100 - 2200,19,851,1853,16,1002
2023-08-25,2200 - 2300,18,606,1065,16,459
2023-08-25,2300 - 0000,21,564,996,16,432
2023-08-26,0500 - 0600,45,436,890,29,454
2023-08-26,0600 - 0700,37,169,391,15,222
2023-08-26,0700 - 0800,24,309,531,17,222
2023-08-26,0800 - 0900,43,894,1354,19,460
2023-08-26,0900 - 1000,68,403,584,12,181
2023-08-26,1000 - 1100,48,1323,1832,19,509
2023-08-26,1100 - 1200,49,826,1651,35,825
2023-08-26,1200 - 1300,41,1071,1754,19,683
2023-08-26,1300 - 1400,53,1537,2574,24,1037
2023-08-26,1400 - 1500,62,1460,2613,29,1153
2023-08-26,1500 - 1600,75,781,1346,28,565
2023-08-26,1600 - 1700,53,920,1845,23,925
2023-08-26,1700 - 1800,52,1255,2769,28,1514
2023-08-26,1800 - 1900,43,862,1604,24,742
2023-08-26,1900 - 2000,15,87,635,12,548
2023-08-26,2000 - 2100,22,822,1748,13,926
2023-08-26,2100 - 2200,18,453,1097,14,644
2023-08-26,2200 - 2300,24,735,1700,22,965
2023-08-26,2300 - 0000,32,188,556,30,368
2023-08-27,0500 - 0600,36,416,992,24,576
2023-08-27,0600 - 0700,49,483,846,19,363
2023-08-27,0700 - 0800,47,1180,1714,23,534
2023-08-27,0800 - 0900,46,478,869,18,391
2023-08-27,0900 - 1000,35,216,301,17,85
2023-08-27,1000 - 1100,32,1607,2494,25,887
2023-08-27,1100 - 1200,16,961,1521,11,560
2023-08-27,1200 - 1300,18,950,1610,11,660
2023-08-27,1300 - 1400,37,1239,2311,17,1072
2023-08-27,1400 - 1500,30,961,2119,24,1158
2023-08-27,1500 - 1600,20,631,1622,16,991
2023-08-27,1600 - 1700,23,805,1868,16,1063
2023-08-27,1700 - 1800,18,467,1481,14,1014
2023-08-27,1800 - 1900,19,990,1766,14,776
2023-08-27,1900 - 2000,6,48,200,5,152
2023-08-27,2000 - 2100,13,633,1697,11,1064
2023-08-27,2100 - 2200,29,274,584,17,310
2023-08-27,2200 - 2300,47,901,2355,25,1454
2023-08-27,2300 - 0000,32,270,1055,26,785
2023-08-28,0500 - 0600,22,70,156,16,86
2023-08-28,0600 - 0700,22,701,1361,8,660
2023-08-28,0700 - 0800,37,851,1350,20,499
2023-08-28,0800 - 0900,25,403,586,18,183
2023-08-28,0900 - 1000,31,534,804,21,270
2023-08-28,1000 - 1100,22,1047,1319,16,272
2023-08-28,1100 - 1200,20,930,1914,20,984
2023-08-28,1200 - 1300,33,829,1678,19,849
2023-08-28,1300 - 1400,40,1590,2796,17,1206
2023-08-28,1400 - 1500,53,1114,2304,32,1190
2023-08-28,1500 - 1600,75,1202,2182,29,980
2023-08-28,1600 - 1700,64,795,1609,25,814
2023-08-28,1700 - 1800,48,477,1348,24,871
2023-08-28,1800 - 1900,29,1160,1837,21,677
2023-08-28,1900 - 2000,47,545,909,26,364
2023-08-28,2000 - 2100,36,295,1030,16,735
2023-08-28,2100 - 2200,29,455,1107,15,652
2023-08-28,2200 - 2300,28,336,869,14,533
2023-08-28,2300 - 0000,53,400,1198,25,798
2023-08-29,0500 - 0600,28,222,412,22,190
2023-08-29,0600 - 0700,25,671,1099,11,428
2023-08-29,0700 - 0800,28,346,686,19,340
2023-08-29,0800 - 0900,14,390,589,6,199
2023-08-29,0900 - 1000,36,658,1018,25,360
2023-08-29,1000 - 1100,36,811,1241,23,430
2023-08-29,1100 - 1200,15,719,1183,12,464
2023-08-29,1200 - 1300,17,1057,1964,12,907
2023-08-29,1300 - 1400,21,717,1518,12,801
2023-08-29,1400 - 1500,26,1670,2801,19,1131
2023-08-29,1500 - 1600,34,545,1119,22,574
2023-08-29,1600 - 1700,22,773,1473,15,700
2023-08-29,1700 - 1800,17,197,611,17,414
2023-08-29,1800 - 1900,27,942,1827,17,885
2023-08-29,1900 - 2000,28,239,492,19,253
2023-08-29,2000 - 2100,46,813,1828,21,1015
2023-08-29,2100 - 2200,56,553,1072,32,519
2023-08-29,2200 - 2300,72,477,965,22,488
2023-08-29,2300 - 0000,47,235,620,24,385
2023-08-30,0500 - 0600,21,132,316,15,184
2023-08-30,0600 - 0700,15,453,763,8,310
2023-08-30,0700 - 0800,45,1091,1692,27,601
2023-08-30,0800 - 0900,33,607,807,12,200
2023-08-30,0900 - 1000,23,631,988,13,357
2023-08-30,1000 - 1100,19,610,837,16,227
2023-08-30,1100 - 1200,21,1460,2091,11,631
2023-08-30,1200 - 1300,28,1349,2561,17,1212
2023-08-30,1300 - 1400,40,906,1565,17,659
2023-08-30,1400 - 1500,28,810,1787,22,977
2023-08-30,1500 - 1600,52,1079,1963,23,884
2023-08-30,1600 - 1700,58,790,1407,26,617
2023-08-30,1700 - 1800,47,573,1126,20,553
2023-08-30,1800 - 1900,32,720,1042,20,322
2023-08-30,1900 - 2000,22,542,1302,12,760
2023-08-30,2000 - 2100,30,245,700,17,455
2023-08-30,2100 - 2200,30,445,1059,18,614
2023-08-30,2200 - 2300,30,517,1111,24,594
2023-08-30,2300 - 0000,38,494,1071,30,577
2023-08-31,0500 - 0600,21,151,260,18,109
2023-08-31,0600 - 0700,14,400,778,5,378
2023-08-31,0700 - 0800,29,475,791,21,316
2023-08-31,0800 - 0900,25,661,851,11,190
2023-08-31,0900 - 1000,23,257,481,24,224
2023-08-31,1000 - 1100,23,1103,1434,13,331
2023-08-31,1100 - 1200,16,674,1382,13,708
2023-08-31,1200 - 1300,15,653,1141,9,488
2023-08-31,1300 - 1400,27,1608,2572,14,964
2023-08-31,1400 - 1500,40,1195,2383,21,1188
2023-08-31,1500 - 1600,50,973,1711,17,738
2023-08-31,1600 - 1700,46,638,1186,19,548
2023-08-31,1700 - 1800,52,811,1518,21,707
2023-08-31,1800 - 1900,51,558,967,21,409
2023-08-31,1900 - 2000,41,223,537,12,314
2023-08-31,2000 - 2100,22,770,1496,10,726
2023-08-31,2100 - 2200,36,630,1501,19,871
2023-08-31,2200 - 2300,28,363,725,17,362
2023-08-31,2300 - 0000,19,500,829,13,329
2023-09-01,0500 - 0600,28,194,321,16,127
2023-09-01,0600 - 0700,30,733,1225,11,492
2023-09-01,0700 - 0800,46,1328,1832,25,504
2023-09-01,0800 - 0900,52,346,432,17,86
2023-09-01,0900 - 1000,42,439,555,18,116
2023-09-01,1000 - 1100,28,1375,1913,16,538
2023-09-01,1100 - 1200,44,1195,1617,22,422
2023-09-01,1200 - 1300,46,731,1264,21,533
2023-09-01,1300 - 1400,41,1960,2790,16,830
2023-09-01,1400 - 1500,41,1059,1882,24,823
2023-09-01,1500 - 1600,51,1480,2340,16,860
2023-09-01,1600 - 1700,46,703,1091,19,388
2023-09-01,1700 - 1800,36,1040,1719,16,679
2023-09-01,1800 - 1900,23,927,1259,17,332
2023-09-01,1900 - 2000,25,461,673,7,212
2023-09-01,2000 - 2100,33,735,1460,17,725
2023-09-01,2100 - 2200,37,720,1268,13,548
2023-09-01,2200 - 2300,17,510,809,9,299
2023-09-01,2300 - 0000,21,629,1045,13,416
2023-09-02,0500 - 0600,37,478,739,15,261
2023-09-02,0600 - 0700,30,99,255,5,156
2023-09-02,0700 - 0800,33,984,1413,15,429
2023-09-02,0800 - 0900,28,251,333,11,82
2023-09-02,0900 - 1000,32,347,434,14,87
2023-09-02,1000 - 1100,40,1053,1554,19,501
2023-09-02,1100 - 1200,35,1257,1895,16,638
2023-09-02,1200 - 1300,35,590,942,19,352
2023-09-02,1300 - 1400,34,2187,3090,12,903
2023-09-02,1400 - 1500,34,767,1320,17,553
2023-09-02,1500 - 1600,58,1668,2743,25,1075
2023-09-02,1600 - 1700,66,1386,2111,16,725
2023-09-02,1700 - 1800,73,985,2067,30,1082
2023-09-02,1800 - 1900,53,914,1541,20,627
2023-09-02,1900 - 2000,17,42,346,8,304
2023-09-02,2000 - 2100,34,623,1440,18,817
2023-09-02,2100 - 2200,28,658,1318,23,660
2023-09-02,2200 - 2300,17,593,1389,13,796
2023-09-02,2300 - 0000,25,494,1054,19,560
2023-09-03,0500 - 0600,45,255,524,29,269
2023-09-03,0600 - 0700,34,552,937,12,385
2023-09-03,0700 - 0800,51,1018,1588,25,570
2023-09-03,0800 - 0900,71,613,813,19,200
2023-09-03,0900 - 1000,47,946,1485,23,539
2023-09-03,1000 - 1100,33,795,1222,18,427
2023-09-03,1100 - 1200,31,1023,1587,18,564
2023-09-03,1200 - 1300,27,629,1170,16,541
2023-09-03,1300 - 1400,28,1319,2435,14,1116
2023-09-03,1400 - 1500,38,1123,2161,17,1038
2023-09-03,1500 - 1600,36,877,1963,18,1086
2023-09-03,1600 - 1700,24,839,1640,11,801
2023-09-03,1700 - 1800,15,561,1262,12,701
2023-09-03,1800 - 1900,21,834,1790,12,956
2023-09-03,1900 - 2000,13,195,603,13,408
2023-09-03,2000 - 2100,18,566,1475,12,909
2023-09-03,2100 - 2200,32,867,1846,14,979
2023-09-03,2200 - 2300,27,303,677,13,374
2023-09-03,2300 - 0000,20,479,1645,17,1166
2023-09-04,0500 - 0600,18,101,194,12,93
2023-09-04,0600 - 0700,23,592,1108,10,516
2023-09-04,0700 - 0800,29,719,1227,20,508
2023-09-04,0800 - 0900,34,610,815,23,205
2023-09-04,0900 - 1000,27,514,931,16,417
2023-09-04,1000 - 1100,20,883,1250,13,367
2023-09-04,1100 - 1200,21,953,1458,11,505
2023-09-04,1200 - 1300,22,1172,2548,17,1376
2023-09-04,1300 - 1400,20,1323,2586,17,1263
2023-09-04,1400 - 1500,33,1192,1963,19,771
2023-09-04,1500 - 1600,50,2065,3898,27,1833
2023-09-04,1600 - 1700,38,589,1051,11,462
2023-09-04,1700 - 1800,27,818,2233,18,1415
2023-09-04,1800 - 1900,25,666,1327,18,661
2023-09-04,1900 - 2000,21,536,645,12,109
2023-09-04,2000 - 2100,20,347,1256,13,909
2023-09-04,2100 - 2200,32,671,1474,16,803
2023-09-04,2200 - 2300,54,473,1132,17,659
2023-09-04,2300 - 0000,63,327,1484,34,1157
2023-09-05,0500 - 0600,24,370,773,18,403
2023-09-05,0600 - 0700,39,421,668,16,247
2023-09-05,0700 - 0800,35,711,1118,19,407
2023-09-05,0800 - 0900,38,344,478,18,134
2023-09-05,0900 - 1000,31,755,1178,20,423
2023-09-05,1000 - 1100,24,868,1235,14,367
2023-09-05,1100 - 1200,14,890,1494,12,604
2023-09-05,1200 - 1300,14,757,1088,8,331
2023-09-05,1300 - 1400,41,1717,3120,18,1403
2023-09-05,1400 - 1500,50,997,1956,18,959
2023-09-05,1500 - 1600,21,708,1386,13,678
2023-09-05,1600 - 1700,25,1072,2026,15,954
2023-09-05,1700 - 1800,13,543,952,9,409
2023-09-05,1800 - 1900,18,689,1370,14,681
2023-09-05,1900 - 2000,16,280,847,8,567
2023-09-05,2000 - 2100,25,575,1280,13,705
2023-09-05,2100 - 2200,41,696,1136,17,440
2023-09-05,2200 - 2300,71,874,1873,28,999
2023-09-05,2300 - 0000,78,233,915,40,682
2023-09-06,0500 - 0600,34,93,167,29,74
2023-09-06,0600 - 0700,19,987,1573,8,586
2023-09-06,0700 - 0800,45,1345,1793,20,448
2023-09-06,0800 - 0900,35,314,419,19,105
2023-09-06,0900 - 1000,30,396,610,22,214
2023-09-06,1000 - 1100,11,706,991,7,285
2023-09-06,1100 - 1200,23,1582,2042,20,460
2023-09-06,1200 - 1300,25,1114,1812,16,698
2023-09-06,1300 - 1400,36,1422,2280,15,858
2023-09-06,1400 - 1500,57,1409,2600,22,1191
2023-09-06,1500 - 1600,64,1368,2322,29,954
2023-09-06,1600 - 1700,25,353,548,17,195
2023-09-06,1700 - 1800,27,1135,2154,21,1019
2023-09-06,1800 - 1900,22,832,1585,18,753
2023-09-06,1900 - 2000,33,760,1369,13,609
2023-09-06,2000 - 2100,38,352,855,19,503
2023-09-06,2100 - 2200,34,561,1143,15,582
2023-09-06,2200 - 2300,58,470,935,25,465
2023-09-06,2300 - 0000,44,580,1126,23,546
2023-09-07,0000 - 0100,21,26,73,15,47
2023-09-07,0500 - 0600,22,262,475,13,213
2023-09-07,0600 - 0700,43,529,844,20,315
2023-09-07,0700 - 0800,43,1080,1357,20,277
2023-09-07,0800 - 0900,24,332,418,13,86
2023-09-07,1000 - 1100,19,1114,1560,14,446
2023-09-07,1100 - 1200,20,1035,1585,10,550
2023-09-07,1200 - 1300,29,1369,2024,15,655
2023-09-07,1300 - 1400,43,1893,2709,19,816
2023-09-07,1400 - 1500,35,1055,1739,20,684
2023-09-07,1500 - 1600,48,1264,1938,21,674
2023-09-07,1600 - 1700,27,561,1030,16,469
2023-09-07,1700 - 1800,20,853,1696,16,843
2023-09-07,1800 - 1900,19,447,824,18,377
2023-09-07,1900 - 2000,12,173,342,18,169
2023-09-07,2000 - 2100,32,940,1810,18,870
2023-09-07,2100 - 2200,35,961,1641,20,680
2023-09-07,2200 - 2300,28,460,762,13,302
2023-09-07,2300 - 0000,27,442,732,14,290
2023-09-08,0000 - 0100,0,5,62,0,57
2023-09-08,0500 - 0600,28,474,796,14,322
2023-09-08,0600 - 0700,17,477,604,8,127
2023-09-08,0700 - 0800,41,1210,1418,21,208
2023-09-08,0800 - 0900,29,505,750,21,245
2023-09-08,0900 - 1000,27,652,790,13,138
2023-09-08,1000 - 1100,29,1057,1449,16,392
2023-09-08,1100 - 1200,24,1202,1708,12,506
2023-09-08,1200 - 1300,51,1539,2306,20,767
2023-09-08,1300 - 1400,47,1447,2095,17,648
2023-09-08,1400 - 1500,40,972,1693,19,721
2023-09-08,1500 - 1600,60,1438,2382,22,944
2023-09-08,1600 - 1700,73,963,1525,19,562
2023-09-08,1700 - 1800,75,913,1525,29,612
2023-09-08,1800 - 1900,39,449,769,13,320
2023-09-08,1900 - 2000,25,695,1145,16,450
2023-09-08,2000 - 2100,27,650,1372,14,722
2023-09-08,2100 - 2200,55,778,1531,30,753
2023-09-08,2200 - 2300,66,799,1248,17,449
2023-09-08,2300 - 0000,68,469,798,24,329
2023-09-09,0500 - 0600,27,468,789,9,321
2023-09-09,0600 - 0700,35,265,467,11,202
2023-09-09,0700 - 0800,20,802,1090,17,288
2023-09-09,0800 - 0900,20,582,897,12,315
2023-09-09,0900 - 1000,19,366,538,10,172
2023-09-09,1000 - 1100,33,1399,1771,18,372
2023-09-09,1100 - 1200,33,1173,1902,15,729
2023-09-09,1200 - 1300,21,1221,2022,12,801
2023-09-09,1300 - 1400,30,1653,2492,13,839
2023-09-09,1400 - 1500,42,1301,2128,17,827
2023-09-09,1500 - 1600,56,1310,2298,25,988
2023-09-09,1600 - 1700,49,1336,2237,15,901
2023-09-09,1700 - 1800,53,976,1789,18,813
2023-09-09,1800 - 1900,17,680,1221,13,541
2023-09-09,1900 - 2000,30,670,1495,17,825
2023-09-09,2000 - 2100,35,825,1964,17,1139
2023-09-09,2100 - 2200,36,424,1016,17,592
2023-09-09,2200 - 2300,32,592,1146,19,554
2023-09-09,2300 - 0000,34,403,920,23,517
2023-09-10,0500 - 0600,51,719,1376,26,657
2023-09-10,0600 - 0700,55,489,633,19,144
2023-09-10,0700 - 0800,49,528,1017,30,489
2023-09-10,0800 - 0900,43,1066,1404,13,338
2023-09-10,0900 - 1000,40,880,1462,25,582
2023-09-10,1000 - 1100,22,335,526,13,191
2023-09-10,1100 - 1200,23,1183,1886,10,703
2023-09-10,1200 - 1300,22,938,1504,13,566
2023-09-10,1300 - 1400,35,1705,2916,13,1211
2023-09-10,1400 - 1500,35,771,1860,17,1089
2023-09-10,1500 - 1600,37,1108,2321,12,1213
2023-09-10,1600 - 1700,19,490,1114,9,624
2023-09-10,1700 - 1800,13,450,1112,12,662
2023-09-10,1800 - 1900,13,920,1859,12,939
2023-09-10,1900 - 2000,13,469,1365,10,896
2023-09-10,2000 - 2100,25,801,1873,13,1072
2023-09-10,2100 - 2200,40,525,1339,17,814
2023-09-10,2200 - 2300,25,611,1381,15,770
2023-09-10,2300 - 0000,22,364,1208,15,844
2023-09-11,0500 - 0600,46,407,800,26,393
2023-09-11,0600 - 0700,39,387,685,11,298
2023-09-11,0700 - 0800,46,860,1390,22,530
2023-09-11,0800 - 0900,47,432,573,15,141
2023-09-11,0900 - 1000,51,802,1099,21,297
2023-09-11,1000 - 1100,36,1111,1584,13,473
2023-09-11,1100 - 1200,20,608,970,9,362
2023-09-11,1200 - 1300,36,1615,3088,19,1473
2023-09-11,1300 - 1400,37,1091,1750,15,659
2023-09-11,1400 - 1500,49,1277,2589,22,1312
2023-09-11,1500 - 1600,70,1299,2170,20,871
2023-09-11,1600 - 1700,69,593,1010,23,417
2023-09-11,1700 - 1800,54,1003,2544,20,1541
2023-09-11,1800 - 1900,36,858,1546,16,688
2023-09-11,1900 - 2000,26,369,805,11,436
2023-09-11,2000 - 2100,22,514,1309,14,795
2023-09-11,2100 - 2200,15,398,939,9,541
2023-09-11,2200 - 2300,14,340,630,9,290
2023-09-11,2300 - 0000,17,445,1259,14,814
2023-09-12,0500 - 0600,51,498,797,29,299
2023-09-12,0600 - 0700,30,358,640,8,282
2023-09-12,0700 - 0800,38,821,1079,20,258
2023-09-12,0800 - 0900,55,614,880,14,266
2023-09-12,0900 - 1000,37,453,767,25,314
2023-09-12,1000 - 1100,40,726,1070,19,344
2023-09-12,1100 - 1200,18,1071,1916,13,845
2023-09-12,1200 - 1300,17,510,813,9,303
2023-09-12,1300 - 1400,28,1435,2485,16,1050
2023-09-12,1400 - 1500,31,853,1381,16,528
2023-09-12,1500 - 1600,26,1226,2174,12,948
